City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wrexham,GB,2021-03-29 00:35:49,53.0,-3.0,55.0,89,100,18.01
68,Stabat,ID,2021-03-29 00:35:50,3.761,98.4513,75.2,100,75,3.44
69,Saint Anthony,US,2021-03-29 00:35:50,45.0205,-93.218,43.0,39,1,6.91
70,Tiksi,RU,2021-03-29 00:35:51,71.6872,128.8694,6.67,90,100,0.72
71,Hobart,AU,2021-03-29 00:31:55,-42.8794,147.3294,57.99,44,75,11.5
72,Pisco,PE,2021-03-29 00:34:17,-13.7,-76.2167,69.8,73,0,19.57
73,San Cristobal,VE,2021-03-29 00:35:51,7.7669,-72.225,75.2,88,40,2.3
74,Klaksvik,FO,2021-03-29 00:35:52,62.2266,-6.589,42.8,81,40,10.36
75,Kaitangata,NZ,2021-03-29 00:35:52,-46.2817,169.8464,71.01,69,2,5.28
76,Chokurdakh,RU,2021-03-29 00:35:52,70.6333,147.9167,-0.8,95,97,4.81
77,Ormara,PK,2021-03-29 00:35:53,25.2088,64.6357,77.2,80,8,5.79
78,Thompson,CA,2021-03-29 00:35:53,55.7435,-97.8558,24.8,80,90,9.22
79,Mandan,US,2021-03-29 00:35:53,46.8267,-100.8896,64.4,31,1,9.22
80,Korla,CN,2021-03-29 00:35:54,41.7597,86.1469,55.92,41,100,10.71
81,Savinka,RU,2021-03-29 00:35:54,50.0785,47.0994,32.25,95,100,10.49
82,Enid,US,2021-03-29 00:33:28,36.3956,-97.8784,64.4,29,1,9.22
83,Aklavik,CA,2021-03-29 00:35:55,68.2191,-135.0107,-2.2,54,54,4.61
84,Nikolskoye,RU,2021-03-29 00:35:26,59.7035,30.7861,39.0,93,0,4.47
85,Nueva Imperial,CL,2021-03-29 00:35:55,-38.7333,-72.95,60.8,77,0,2.3
86,Arman,RU,2021-03-29 00:35:56,59.7,150.1667,13.42,78,28,1.99
87,Chuy,UY,2021-03-29 00:35:56,-33.6971,-53.4616,62.78,92,3,4.68
88,Hit,IQ,2021-03-29 00:35:57,33.6416,42.8251,53.78,31,0,10.0
89,Ponta Do Sol,PT,2021-03-29 00:35:19,32.6667,-17.1,61.0,55,89,5.01
90,Weiser,US,2021-03-29 00:35:58,44.251,-116.9693,80.6,9,1,25.32
91,Lobito,AO,2021-03-29 00:35:58,-12.3481,13.5456,77.29,82,100,3.91
92,San Policarpo,PH,2021-03-29 00:35:58,12.1791,125.5072,81.55,81,100,9.08
93,Portree,GB,2021-03-29 00:35:59,57.4129,-6.1942,48.0,93,100,18.99
94,Sangar,RU,2021-03-29 00:35:59,63.9242,127.4739,16.07,91,98,7.02
95,Barrow,US,2021-03-29 00:36:00,71.2906,-156.7887,-11.2,64,1,13.8
96,Tarauaca,BR,2021-03-29 00:36:00,-8.1614,-70.7656,73.06,96,89,1.83
97,Pangnirtung,CA,2021-03-29 00:36:01,66.1451,-65.7125,0.66,91,100,4.5
98,Liverpool,GB,2021-03-29 00:36:01,53.4106,-2.9779,57.2,77,96,23.02
99,Upernavik,GL,2021-03-29 00:36:02,72.7868,-56.1549,-24.48,79,15,4.68
100,San Andres,CO,2021-03-29 00:32:04,12.5847,-81.7006,82.4,74,20,11.5
101,Kruisfontein,ZA,2021-03-29 00:36:02,-34.0033,24.7314,62.01,79,100,4.0
102,Bibiani,GH,2021-03-29 00:36:03,6.4635,-2.3194,73.08,91,13,2.39
103,Oyama,JP,2021-03-29 00:36:03,36.3,139.8,69.01,88,75,4.61
104,Kahului,US,2021-03-29 00:36:03,20.8947,-156.47,77.0,61,40,18.41
105,Deputatskiy,RU,2021-03-29 00:36:04,69.3,139.9,9.09,87,98,2.75
106,Beringovskiy,RU,2021-03-29 00:36:04,63.05,179.3167,13.77,90,100,18.59
107,Isangel,VU,2021-03-29 00:36:05,-19.55,169.2667,84.2,79,40,8.05
108,Oranjemund,NA,2021-03-29 00:36:05,-28.55,16.4333,59.54,85,0,1.43
109,Asosa,ET,2021-03-29 00:36:06,10.0667,34.5333,67.12,34,98,3.15
110,Iquique,CL,2021-03-29 00:36:06,-20.2208,-70.1431,68.0,68,90,13.8
111,Pacific Grove,US,2021-03-29 00:34:29,36.6177,-121.9166,57.0,83,0,8.01
112,Opuwo,NA,2021-03-29 00:36:02,-18.0607,13.84,70.2,54,20,2.53
