City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Taylorville,US,39.5489,-89.2945,35.01,64,1,9.22,clear sky
81,Dikson,RU,73.5069,80.5464,-2.69,67,100,8.79,overcast clouds
82,Turka,UA,49.1541,23.0297,46.0,85,98,4.68,overcast clouds
83,Vila Franca Do Campo,PT,37.7167,-25.4333,51.8,87,20,2.3,few clouds
84,Tuatapere,NZ,-46.1333,167.6833,55.99,78,100,1.99,overcast clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,67,0,4.61,clear sky
86,Abu Dhabi,AE,24.4667,54.3667,77.0,73,3,2.3,clear sky
87,Hermanus,ZA,-34.4187,19.2345,59.0,95,91,7.2,overcast clouds
88,Norman Wells,CA,65.282,-126.8329,10.4,92,75,2.3,light snow
89,Hamilton,US,39.1834,-84.5333,37.99,44,20,12.66,few clouds
90,Luanda,AO,-8.8368,13.2343,78.8,83,75,1.14,broken clouds
91,Aguilar De La Frontera,ES,37.5143,-4.6554,57.2,67,0,2.3,clear sky
92,San Vicente,AR,-26.6167,-54.1333,50.41,93,15,3.13,few clouds
93,Castro,BR,-24.7911,-50.0119,49.24,82,2,2.39,clear sky
94,Qaanaaq,GL,77.484,-69.3632,-10.01,67,65,8.19,broken clouds
95,Mataura,NZ,-46.1927,168.8643,55.99,78,100,1.99,overcast clouds
96,Andilamena,MG,-17.0167,48.5833,68.2,88,96,7.96,overcast clouds
97,Saskylakh,RU,71.9167,114.0833,-16.87,94,98,11.36,overcast clouds
98,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,6.91,scattered clouds
99,Srednekolymsk,RU,67.45,153.6833,11.64,82,69,7.34,broken clouds
100,Vanimo,PG,-2.6741,141.3028,82.58,74,71,5.5,moderate rain
101,Sept-Iles,CA,50.2001,-66.3821,36.0,93,90,8.05,overcast clouds
102,Whitefish,US,48.4111,-114.3376,37.4,52,1,5.75,clear sky
103,Taldan,RU,53.6667,124.8,37.76,60,11,5.97,few clouds
104,Nikolskoye,RU,59.7035,30.7861,36.0,93,0,6.71,light snow
105,Constitucion,CL,-35.3333,-72.4167,55.06,84,89,3.96,overcast clouds
106,Ucluelet,CA,48.9329,-125.5528,45.0,84,100,5.59,overcast clouds
107,Arrecife,ES,28.963,-13.5477,59.0,82,20,5.75,few clouds
108,Ndioum,SN,16.5129,-14.6471,76.06,26,1,11.12,clear sky
109,Sabinas Hidalgo,MX,26.5,-100.1667,60.01,72,100,10.87,overcast clouds
110,Kaeo,NZ,-35.1,173.7833,64.99,90,26,3.0,scattered clouds
111,Severo-Kurilsk,RU,50.6789,156.125,37.26,98,100,22.82,light rain
112,Calvia,ES,39.5657,2.5062,50.0,71,0,9.22,clear sky
113,Arraial Do Cabo,BR,-22.9661,-42.0278,74.26,74,18,19.24,few clouds
114,Kapaa,US,22.0752,-159.319,73.4,83,75,17.27,light rain
115,Pioner,RU,55.3166,85.9508,26.6,68,40,11.18,light snow
116,Bereda,ES,43.2686,-7.5406,66.2,52,0,9.22,clear sky
117,Lagoa,PT,39.05,-27.9833,57.13,68,0,7.7,clear sky
118,Kendari,ID,-3.945,122.4989,84.97,72,92,4.9,overcast clouds
119,Saint George,US,37.1041,-113.5841,57.99,16,1,8.05,clear sky
120,Anuradhapura,LK,8.3565,80.4173,95.88,35,83,13.29,broken clouds
121,Aksehir,TR,38.3575,31.4164,37.65,98,100,1.68,overcast clouds
122,Bengkulu,ID,-3.8004,102.2655,77.05,88,100,11.99,moderate rain
123,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,14.97,scattered clouds
124,Derzhavinsk,KZ,51.1,66.3167,20.75,89,74,11.21,broken clouds
125,Tonkino,RU,57.3726,46.4629,34.36,99,100,6.93,overcast clouds
126,Saldanha,ZA,-33.0117,17.9442,57.2,88,49,6.91,scattered clouds
127,Coihaique,CL,-45.5752,-72.0662,53.6,71,90,3.24,overcast clouds
128,Barcelos,PT,41.5388,-8.6151,60.8,82,40,9.22,scattered clouds
129,Chokurdakh,RU,70.6333,147.9167,6.08,90,64,6.35,broken clouds
130,Cidreira,BR,-30.1811,-50.2056,67.93,76,54,10.6,broken clouds
131,Saint-Augustin,CA,51.226,-58.6502,31.03,93,100,6.55,overcast clouds
132,Zvishavane,ZW,-20.3267,30.0665,66.56,54,51,2.28,broken clouds
133,Ribeira Grande,PT,38.5167,-28.7,58.48,77,13,14.09,few clouds
134,Vostok,RU,46.4856,135.8833,39.99,65,26,6.49,scattered clouds
135,Xiaoweizhai,CN,26.1903,107.5125,82.36,49,26,10.4,scattered clouds
136,Kodiak,US,57.79,-152.4072,28.4,50,20,21.85,few clouds
137,Maua,BR,-23.6678,-46.4614,61.0,82,20,2.3,few clouds
138,Bretcu,RO,46.05,26.3,48.0,51,72,2.33,broken clouds
139,San Carlos,VE,9.6612,-68.5827,78.85,69,99,1.39,overcast clouds
140,San Pedro Carcha,GT,15.4833,-90.2667,60.37,97,5,1.3,clear sky
141,Khatanga,RU,71.9667,102.5,-15.74,89,19,2.13,few clouds
142,Kaitangata,NZ,-46.2817,169.8464,60.01,69,83,1.99,broken clouds
143,Arlit,NE,18.7369,7.3853,69.44,12,0,4.94,clear sky
144,Upernavik,GL,72.7868,-56.1549,9.27,67,100,8.21,overcast clouds
145,Somerset West,ZA,-34.084,18.8211,60.8,77,40,13.8,scattered clouds
146,Nome,US,64.5011,-165.4064,-13.61,98,6,6.85,clear sky
147,Baoro,CF,5.6667,15.9667,68.76,38,55,2.28,broken clouds
148,Pyapon,MM,16.2833,95.6833,97.88,29,10,6.49,clear sky
149,Kavieng,PG,-2.5744,150.7967,83.75,69,36,2.89,scattered clouds
150,Atuona,PF,-9.8,-139.0333,80.74,74,79,13.87,broken clouds
151,Zhigansk,RU,66.7697,123.3711,13.53,85,100,9.1,overcast clouds
152,Kosonsoy,UZ,41.2561,71.5508,48.2,46,85,27.63,overcast clouds
153,Chuy,UY,-33.6971,-53.4616,63.79,73,98,6.46,overcast clouds
154,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,87,75,2.3,light rain
155,Oistins,BB,13.0667,-59.5333,77.0,65,40,14.97,scattered clouds
156,Trairi,BR,-3.2778,-39.2689,75.45,93,99,6.64,overcast clouds
157,Hobyo,SO,5.3505,48.5268,83.37,63,73,6.33,broken clouds
158,Sampit,ID,-2.5333,112.95,92.66,49,68,3.51,broken clouds
159,Batagay,RU,67.6333,134.6333,17.49,80,80,6.22,broken clouds
160,Kloulklubed,PW,7.0419,134.2556,78.8,94,90,8.05,overcast clouds
161,Parana,AR,-31.732,-60.5238,64.99,74,0,3.0,clear sky
162,Iqaluit,CA,63.7506,-68.5145,-7.01,71,75,31.07,snow
163,Yamada,JP,39.4667,141.95,51.55,65,5,4.88,clear sky
164,Rio Gallegos,AR,-51.6226,-69.2181,46.4,81,0,11.5,clear sky
165,East London,ZA,-33.0153,27.9116,64.4,88,20,4.61,few clouds
166,Edd,ER,13.9297,41.6925,85.59,48,21,1.52,few clouds
167,Avarua,CK,-21.2078,-159.775,80.6,69,12,6.91,few clouds
168,Gisborne,NZ,-38.6533,178.0042,57.99,94,93,4.0,moderate rain
169,Richards Bay,ZA,-28.783,32.0377,72.99,80,93,5.84,overcast clouds
170,Gat,IL,31.61,34.7642,55.99,100,13,5.03,few clouds
171,Wilmington,US,34.2257,-77.9447,66.2,94,75,6.91,broken clouds
172,Panaba,MX,21.2833,-88.2667,72.52,85,78,6.4,broken clouds
173,Saint-Gaudens,FR,43.0833,0.6667,54.0,37,0,4.61,clear sky
174,Mount Isa,AU,-20.7333,139.5,91.4,22,0,17.27,clear sky
175,Guerrero Negro,MX,27.9769,-114.0611,64.24,56,40,7.61,scattered clouds
176,Tezu,IN,27.9167,96.1667,90.09,27,85,4.54,overcast clouds
177,Vardo,NO,70.3705,31.1107,33.57,90,96,15.23,overcast clouds
178,Samarai,PG,-10.6167,150.6667,85.05,70,71,12.71,broken clouds
179,Oktyabrskiy,RU,54.4815,53.471,34.52,97,100,23.33,snow
180,Kenai,US,60.5544,-151.2583,28.4,63,90,6.91,overcast clouds
181,Kualakapuas,ID,-3.0091,114.3876,84.2,74,20,5.75,few clouds
182,Black River,JM,18.0264,-77.8487,75.2,78,20,3.44,few clouds
183,Mayya,RU,61.7333,130.2811,33.8,55,0,6.71,clear sky
184,Barcelona,ES,41.3888,2.159,53.01,66,0,12.66,clear sky
185,Iracoubo,GF,5.4802,-53.2011,76.15,86,92,10.02,overcast clouds
186,The Valley,AI,18.217,-63.0578,77.0,65,40,14.97,scattered clouds
187,Asau,RO,46.4333,26.4,45.0,51,91,1.81,overcast clouds
188,Merritt Island,US,28.5392,-80.672,72.0,94,90,6.91,overcast clouds
189,Mehamn,NO,71.0357,27.8492,33.26,95,100,7.65,light snow
190,Vila Velha,BR,-20.3297,-40.2925,69.8,100,90,9.78,overcast clouds
191,San Policarpo,PH,12.1791,125.5072,82.56,67,100,11.63,overcast clouds
192,Thinadhoo,MV,0.5333,72.9333,83.77,78,100,20.09,overcast clouds
193,Hailun,CN,47.45,126.9333,59.14,22,85,9.53,overcast clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,66.0,100,95,7.52,overcast clouds
195,Del Rio,US,29.3627,-100.8968,66.2,26,1,10.36,clear sky
196,Okhotsk,RU,59.3833,143.3,30.4,71,1,11.54,clear sky
197,Pringsewu,ID,-5.3582,104.9744,77.7,87,100,3.67,heavy intensity rain
198,Alice Springs,AU,-23.7,133.8833,87.01,24,0,9.22,clear sky
199,Khandbari,NP,27.3747,87.2039,78.84,32,32,6.2,scattered clouds
